id,label,size
0,autorité,8
1,million,32
2,manifester,8
3,france,31
4,mardi,49
5,contre,30
6,réforme,31
7,cgt,11
8,28,12
9,annoncer,15
10,journée,12
11,mobilisation,22
12,opposant,6
13,retraite,33
14,défiler,6
15,31,16
16,janvier,39
17,2023,12
18,entrer,20
19,police,13
20,syndicat,10
21,question,9
22,projet,12
23,gouvernement,12
24,an,26
25,national,8
26,président,17
27,venir,7
28,19,15
29,promettre,6
30,kiev,9
31,char,7
32,occidental,8
33,ministre,6
34,ukrainien,12
35,fois,7
36,bien,9
37,général,8
38,rapport,8
39,français,9
40,noir,8
41,petit,10
42,groupe,7
43,guerre,6
44,crise,6
45,mondial,8
46,aller,10
47,meilleur,6
48,2022,6
49,devoir,14
50,jeu,7
51,février,17
52,face,9
53,américain,12
54,mettre,10
55,sou,6
56,monde,14
57,mouvement,6
58,cest,11
59,macron,6
60,dernier,14
61,faire,34
62,annonce,9
63,manifestant,15
64,ministère,12
65,lintérieur,8
66,ville,14
67,lukraine,15
68,pays,19
69,lundi,9
70,quil,13
71,nest,6
72,prochain,6
73,année,9
74,russe,13
75,conflit,6
76,république,6
77,opération,7
78,grand,15
79,dun,39
80,temps,6
81,mort,7
82,dune,7
83,capitale,6
84,jour,13
85,dirigeant,7
86,produit,7
87,prendre,9
88,permettre,7
89,luire,9
90,cadre,7
91,mois,8
92,pari,20
93,7,6
94,pouvoir,24
95,12,9
96,jeune,10
97,manifestation,7
98,sest,9
99,place,7
100,rue,7
101,lieu,6
102,donner,7
103,public,6
104,situation,6
105,prix,6
106,sortir,6
107,femme,13
108,voir,9
109,demande,6
110,avril,7
111,peine,6
112,enfant,9
113,mercredi,6
114,politique,7
115,pape,6
116,vidéo,6
117,conseil,6
118,video,9
119,20,6
120,photo,6
121,suisse,6
